,,,,,,,,,,,,,
,pauseDuration,,,,,,,,,,,,
Notation ->,"This id field is the lookup field for the database. It should start with the field name, and then a numerical sequence incremented by +1 each time. For example, pauseDuration0001 and pauseDuration0002.","This captures the age range for which the age range should apply. It should be in the format of ##+:##, where the ## represent number of months and the + is a symbol to indicate that the range should start just beyond the number listed. The '+' is optional. Please be sure to use a colon as the intervening character (this convention allows for the positive of negative numbers, which doesn't make sense for this field but could for other fields) ","This captures the percentile rank of the person in terms of number of pauses. Lower percentile indicates that they pause less frequently, higher percentile that they pause more frequently. Example: ""0.10+:0.40""","This field captures trends in performance. Got better = 1; stayed the same = 2, got worse =3, Recc not dependent on trend = 0) ","This field captures the title of the recommendation. For internal purposes only (will not be shown to customer, hence why it starts with 'note').",This field captures the short version of the recommendation (either Challenge or Win). Try to keep it to approximately two sentences.,This field captures the long version of the recommendation (either challenge or Win),This field captures the text of the Tip,"This field captures whether the recommendation is eligible for the Weekly Win (1), Weekly Challenge (-1) or neither (0)",This field captures a link for more information,This field captures a link to a video example,,
Kristy's notes,,,Need to analyze data and norms more to determine,,,,,,,,,,
Field Type (Excel),Text,Text,Text,Number,Text,Text,Text,Text,Number,Text,Text,,
,id,inAge,inPausePercentage,inSuccessTrend,title,reccShort,reccLong,Tip,weeklyWin,moreInfoLink,videoExampleLink,,
,pauseDuration0000,12:15,0.01:0.25,0,Increase Pause Duration,do better1,Try pausing for 20 seconds and looking expectantly at your child each time you say something to them. You may raise your eyebrows when expecting them to say something to you. A gentle smile may help.,tip for 12-15 worst ,0,,,,
,pauseDuration0001,12:15,0.25+:0.50,0,Increase Pause Duration,do better2,Try pausing for 20 seconds and looking expectantly at your child each time you say something to them. You may raise your eyebrows when expecting them to say something to you. A gentle smile often helps.,tip for 12-15 second quartile,0,,,,
,pauseDuration0002,12:15,0.50+:0.75,0,Good Pause Duration!,do better3,Try pausing for 20 seconds and looking expectantly at your child each time you say something to them. You may raise your eyebrows when expecting them to say something to you. A gentle smile often helps.,tip for 12-15 third quartile,0,,,,
,pauseDuration0003,12:15,0.75+:1.00,0,Decrease Pause Duration,do better4,Try pausing for 20 seconds and looking expectantly at your child each time you say something to them. You may raise your eyebrows when expecting them to say something to you. A gentle smile often helps.,tip for 12-15 best,0,,,,
,pauseDuration0004,15+:18,0.01:0.25,0,Increase Pause Duration,do better5,"It's helpful to give your child a little extra time to process what you have said. When you ask a question you think they can understand and respond to, perhaps a ""yes"" or ""no"" question, try pausing a little longer to let them think - up to 20 seconds.",tip for 12-15 wors2t ,0,,,,
